,country_code,longitude,latitude,average_cost_for_two,has_table_booking,has_online_delivery,is_delivering_now,switch_to_order_menu,price_range,aggregate_rating,rating_text,votes,cuisine_rate
79,30,-46.581672,-23.486535,100,0,0,0,0,4,4.4,4,22,104
80,30,-46.63566667,-23.58516667,70,0,0,0,0,3,4.6,5,58,130
81,30,-46.746958,-23.609207,120,0,0,0,0,4,4.1,4,11,116
82,216,-84.221535,31.610387,25,0,0,0,0,2,3.3,2,35,133
83,216,-84.207095,31.608743,10,0,0,0,0,1,3.3,2,25,136
84,216,-84.154,31.5772,0,0,0,0,0,1,3.4,2,34,64
85,216,-84.2194,31.6158,0,0,0,0,0,1,3.4,2,45,128
86,216,-84.206944,31.622412,10,0,0,0,0,1,3.4,2,26,114
87,216,-84.1759,31.5882,0,0,0,0,0,1,3.4,2,36,0
88,216,-84.2193,31.616,10,0,0,0,0,1,3.5,3,67,145
89,216,-84.2091458,31.615518599999998,10,0,0,0,0,1,3.9,3,141,146
90,216,-84.205718,31.604905,25,0,0,0,0,2,3.7,3,147,135
91,216,-84.22327800000001,31.612121000000002,70,0,0,0,0,4,3.5,3,51,115
92,216,-84.2191,31.6156,25,0,0,0,0,2,3.6,3,88,146
93,216,-84.212,31.6104,10,0,0,0,0,1,3.8,3,153,1
94,216,-84.1534,31.5751,10,0,0,0,0,1,3.9,3,160,0
95,216,-84.2228,31.6077,25,0,0,0,0,2,3.5,3,57,136
96,216,-84.2229,31.6185,25,0,0,0,0,2,3.5,3,58,136
97,216,-84.2164,31.6137,40,0,0,0,0,3,3.6,3,115,123
98,216,-84.2233,31.6118,40,0,0,0,0,3,3.5,3,51,1
99,216,-84.205025,31.605882,40,0,0,0,0,3,3.8,3,250,126
100,216,-84.1757,31.5985,10,0,0,0,0,1,3.7,3,117,0
101,216,-83.8389,31.5308,10,0,0,0,0,1,3.4,2,20,136
102,14,151.6688792,-30.5147169,20,0,0,0,0,2,3.5,3,25,115
103,216,-83.378273,33.957999,40,0,0,0,0,3,4.5,5,1821,136
104,216,-83.3654,33.9535,10,0,0,0,0,1,4.5,5,849,102
105,216,-83.4293,33.9652,10,0,0,0,0,1,4.6,5,917,0
106,216,-83.3389,33.9259,10,0,0,0,0,1,3.9,3,439,0
107,216,-83.375523,33.958197999999996,10,0,0,0,0,1,3.7,3,289,133
108,216,-83.384004,33.959392,10,0,0,0,0,1,4.3,4,558,114
109,216,-83.3797,33.9584,10,0,0,0,0,1,4.2,4,613,0
110,216,-83.37359599999999,33.958112,25,0,0,0,0,2,4.0,4,353,143
111,216,-83.33995,33.924275,25,0,0,0,0,2,4.1,4,387,0
112,216,-83.3872482,33.941554499999995,40,0,0,0,0,3,4.3,4,755,136
113,216,-83.381625,33.960112,10,0,0,0,0,1,4.2,4,800,102
114,216,-83.400887,33.963296,10,0,0,0,0,1,4.1,4,350,114
115,216,-83.4075,33.9584,40,0,0,0,0,3,4.1,4,464,0
116,216,-83.379251,33.957503,25,0,0,0,0,2,4.2,4,550,131
117,216,-83.383605,33.960571,10,0,0,0,0,1,4.1,4,543,128
118,216,-83.37966999999999,33.959468,40,0,0,0,0,3,4.1,4,465,102
119,216,-83.38728,33.937502,10,0,0,0,0,1,4.4,4,546,110
120,216,-83.3764,33.9584,10,0,0,0,0,1,4.4,4,1098,143
121,216,-83.378881,33.958363,25,0,0,0,0,2,4.2,4,579,133
122,216,-83.38282240000001,33.9600227,10,0,0,0,0,1,4.1,4,374,139
123,216,-82.0865,33.4721,40,0,0,0,0,3,4.6,5,717,146
124,216,-82.0698,33.4791,40,0,0,0,0,3,4.9,5,548,136
125,216,-81.97,33.4765,25,0,0,0,0,2,4.5,5,631,100
126,216,-81.9684,33.474000000000004,10,0,0,0,0,1,3.9,3,372,139
127,216,-81.97300600000001,33.477444,25,0,0,0,0,2,3.9,3,201,1
128,216,-81.965571,33.481778999999996,40,0,0,0,0,3,3.8,3,332,111
129,216,-82.0327,33.4086,25,0,0,0,0,2,3.5,3,304,109
130,216,-81.974944,33.478231,40,0,0,0,0,3,4.3,4,368,1
131,216,-82.096,33.4827,25,0,0,0,0,2,4.1,4,430,143
132,216,-81.9721,33.4778,25,0,0,0,0,2,4.4,4,433,1
133,216,-81.9694,33.4764,10,0,0,0,0,1,4.0,4,380,1
134,216,-82.0505,33.5133,25,0,0,0,0,2,4.0,4,456,126
135,216,-82.0301,33.4848,40,0,0,0,0,3,4.2,4,647,128
136,216,-82.080788,33.467201,40,0,0,0,0,3,4.0,4,360,115
137,216,-82.0805493,33.5375868,25,0,0,0,0,2,4.0,4,227,0
138,216,-82.143793,33.544342,25,0,0,0,0,2,3.9,3,290,68
139,216,-82.126161,33.532249,10,0,0,0,0,1,4.1,4,270,96
140,216,-82.141284,33.521291,25,0,0,0,0,2,4.0,4,326,133
141,216,-82.1328,33.5406,35,0,0,0,0,3,4.3,4,317,132
142,216,-82.1997,33.4574,10,0,0,0,0,1,4.2,4,300,0
143,14,115.98449240000001,-33.784526899999996,20,0,0,0,0,2,3.2,2,21,76
144,14,146.685852,-36.360439,20,0,0,0,0,2,4.6,5,237,135
145,216,-116.2019,43.6138,25,0,0,0,0,2,4.5,5,879,136
146,216,-116.20346599999999,43.616068,25,0,0,0,0,2,4.6,5,615,0
147,216,-116.2023,43.6149,25,0,0,0,0,2,4.5,5,879,1
148,216,-116.2064,43.6157,70,0,0,0,0,4,3.9,3,379,136
149,216,-116.2031,43.614,10,0,0,0,0,1,4.3,4,303,124
150,216,-116.185034,43.597235,70,0,0,0,0,4,4.1,4,538,115
151,216,-116.2062,43.5945,10,0,0,0,0,1,4.2,4,334,1
152,216,-116.2022,43.6167,25,0,0,0,0,2,4.3,4,555,1
153,216,-116.193409,43.610279,10,0,0,0,0,1,4.4,4,823,1
154,216,-116.2625,43.6192,25,0,0,0,0,2,4.1,4,550,1
155,216,-116.202845,43.616295,25,0,0,0,0,2,4.4,4,650,0
156,216,-116.199,43.615,10,0,0,0,0,1,4.3,4,410,1
157,216,-116.2463,43.6191,10,0,0,0,0,1,4.4,4,660,1
158,216,-116.24516499999999,43.605137899999995,25,0,0,0,0,2,4.4,4,360,143
159,216,-116.2021,43.6162,40,0,0,0,0,3,4.0,4,340,132
160,216,-116.2031,43.6156,25,0,0,0,0,2,4.1,4,393,123
161,216,-116.28180900000001,43.619274,10,0,0,0,0,1,4.3,4,422,111
162,216,-116.28061399999999,43.591706,40,0,0,0,0,3,4.0,4,435,0
163,216,-116.34730400000001,43.619108000000004,25,0,0,0,0,2,4.0,4,369,136
164,216,-116.5629,43.5777,40,0,0,0,0,3,4.4,4,487,0
165,216,-91.6336,42.0179,40,0,0,0,0,3,3.7,3,98,136
166,216,-91.6327,42.0281,40,0,0,0,0,3,4.1,4,365,1
167,216,-91.7148,41.9748,10,0,0,0,0,1,4.1,4,190,1
168,216,-91.6224,42.0249,40,0,0,0,0,3,4.1,4,429,136
169,216,-91.6347,42.01,25,0,0,0,0,2,4.4,4,430,136
170,216,-91.6499622,42.021534700000004,25,0,0,0,0,2,4.2,4,186,0
171,216,-91.7266,41.9639,10,0,0,0,0,1,4.2,4,220,146
172,216,-91.6394,42.0468,10,0,0,0,0,1,4.2,4,347,1
173,216,-91.569767,41.670466,25,0,0,0,0,2,3.8,3,161,1
174,216,-91.5687,41.6685,25,0,0,0,0,2,4.1,4,160,1
175,216,-91.534424,41.660982000000004,10,0,0,0,0,1,4.9,5,820,1
176,216,-91.531414,41.663849,10,0,0,0,0,1,4.5,5,488,0
177,216,-91.531093,41.663751,25,0,0,0,0,2,3.6,3,253,111
178,216,-91.534302,41.658691,40,0,0,0,0,3,3.8,3,220,136
179,216,-91.5314,41.6648,25,0,0,0,0,2,4.3,4,485,0
180,216,-91.5341,41.661,40,0,0,0,0,3,4.3,4,428,1
181,216,-91.48216500000001,41.667742,25,0,0,0,0,2,4.1,4,294,136
182,216,-91.5318,41.6625,40,0,0,0,0,3,4.0,4,380,120
183,216,-91.5074,41.6428,25,0,0,0,0,2,4.2,4,259,0
184,216,-91.5995,42.0331,25,0,0,0,0,2,4.7,5,433,135
185,37,-82.188438,42.397683,25,0,0,0,0,2,3.7,3,176,1
186,216,-123.368151,46.126967,10,0,0,0,0,1,4.3,4,96,139
187,216,-114.472474,51.183934,25,0,0,0,0,2,3.1,2,6,131
188,216,-84.992671,32.470315,10,0,0,0,0,1,3.3,2,33,131
189,216,-84.95591,32.519247,25,0,0,0,0,2,4.6,5,489,136
190,216,-84.927047,32.555591,25,0,0,0,0,2,4.5,5,345,0
191,216,-84.9436,32.5577,25,0,0,0,0,2,3.8,3,149,133
192,216,-84.9936,32.4656,25,0,0,0,0,2,3.9,3,330,1
193,216,-84.954984,32.5382197,40,0,0,0,0,3,3.9,3,247,123
194,216,-84.9876,32.4637,10,0,0,0,0,1,3.7,3,123,111
