,Name,Team,Position,Cost,Creativity,Influence,Threat,ICT,Goals_conceded,Goals_scored,Assists,Own_goals,Penalties_missed,Penalties_saved,Saves,Yellow_cards,Red_cards,TSB,Minutes,Bonus,Points,Age,Market_Value,PCS_1,PCS_2,Player_Id,bonus_GW1,bonus_GW2,bonus_GW3,bonus_GW4,bonus_GW5,bonus_GW6,bonus_GW7,bonus_GW8,bonus_GW9,bps_GW1,bps_GW2,bps_GW3,bps_GW4,bps_GW5,bps_GW6,bps_GW7,bps_GW8,bps_GW9,clean_sheets_GW1,clean_sheets_GW2,clean_sheets_GW3,clean_sheets_GW4,clean_sheets_GW5,clean_sheets_GW6,clean_sheets_GW7,clean_sheets_GW8,clean_sheets_GW9,goals_scored_GW1,goals_scored_GW2,goals_scored_GW3,goals_scored_GW4,goals_scored_GW5,goals_scored_GW6,goals_scored_GW7,goals_scored_GW8,goals_scored_GW9,ict_index_GW1,ict_index_GW2,ict_index_GW3,ict_index_GW4,ict_index_GW5,ict_index_GW6,ict_index_GW7,ict_index_GW8,ict_index_GW9,saves_GW1,saves_GW2,saves_GW3,saves_GW4,saves_GW5,saves_GW6,saves_GW7,saves_GW8,saves_GW9,selected_GW1,selected_GW2,selected_GW3,selected_GW4,selected_GW5,selected_GW6,selected_GW7,selected_GW8,selected_GW9,total_points_GW1,total_points_GW2,total_points_GW3,total_points_GW4,total_points_GW5,total_points_GW6,total_points_GW7,total_points_GW8,total_points_GW9,transfers_balance_GW1,transfers_balance_GW2,transfers_balance_GW3,transfers_balance_GW4,transfers_balance_GW5,transfers_balance_GW6,transfers_balance_GW7,transfers_balance_GW8,transfers_balance_GW9,transfers_in_GW1,transfers_in_GW2,transfers_in_GW3,transfers_in_GW4,transfers_in_GW5,transfers_in_GW6,transfers_in_GW7,transfers_in_GW8,transfers_in_GW9,transfers_out_GW1,transfers_out_GW2,transfers_out_GW3,transfers_out_GW4,transfers_out_GW5,transfers_out_GW6,transfers_out_GW7,transfers_out_GW8,transfers_out_GW9,value_GW1,value_GW2,value_GW3,value_GW4,value_GW5,value_GW6,value_GW7,value_GW8,value_GW9
0,Adam Smith,BOU,DEF,45,345.5,455.0,144.0,94.5,38,1,3,0,0,0,0,6,0,0.3,2067,3,56,27,4.5,0.26039977610940507,0.3259597422933991,29,25,18.0,4.0,9.0,19.0,11.0,17.0,25.0,16.0,25,18.0,4.0,9.0,19.0,11.0,17.0,25.0,16.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.2,2.7,1.3,0.8,5.9,2.5,3.4,1.9,2.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21187,35599.0,40754.0,34980.0,34355.0,45164.0,44899.0,43936.0,50025.0,6,2.0,-2.0,2.0,7.0,1.0,2.0,6.0,6.0,0,4869.0,2416.0,-5970.0,-1406.0,9086.0,-257.0,-1111.0,4671.0,0,7338.0,7324.0,667.0,1863.0,11828.0,2177.0,1196.0,7107.0,0,2469.0,4908.0,6637.0,3269.0,2742.0,2434.0,2307.0,2436.0,45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
1,Adrian,WHU,GKP,45,0.0,470.4,0.0,47.0,29,0,0,0,0,0,69,2,0,0.6,1710,5,72,31,4.5,0.03416116828228178,3.274723983932229,399,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26929,27616.0,25848.0,24636.0,23555.0,22890.0,22347.0,21829.0,21398.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1799.0,-2232.0,-1618.0,-1422.0,-859.0,-661.0,-594.0,-587.0,0,214.0,130.0,117.0,141.0,107.0,102.0,111.0,109.0,0,2013.0,2362.0,1735.0,1563.0,966.0,763.0,705.0,696.0,45,45.0,45.0,45.0,44.0,44.0,44.0,44.0,44.0
2,Aguero,MCI,FWD,110,570.8,966.4,1484.0,302.5,12,21,6,0,0,0,0,2,0,12.6,1960,22,169,30,72.0,5.246196295269066,-2.40389434009798,280,4,82.0,3.0,23.0,24.0,36.0,30.0,-1.0,22.0,4,82.0,3.0,23.0,24.0,36.0,30.0,-1.0,22.0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,7.7,23.4,8.2,11.3,10.1,17.2,12.5,0.1,14.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1452447,1695641.0,2483867.0,2723468.0,2946225.0,2867222.0,3007762.0,2851683.0,2979793.0,2,20.0,2.0,6.0,7.0,6.0,8.0,1.0,6.0,0,82669.0,638895.0,189610.0,159182.0,-77024.0,103315.0,-137534.0,83046.0,0,137757.0,665008.0,230423.0,197030.0,100622.0,128044.0,74405.0,154603.0,0,55088.0,26113.0,40813.0,37848.0,177646.0,24729.0,211939.0,71557.0,110,110.0,112.0,113.0,114.0,114.0,114.0,114.0,113.0
3,Ake,BOU,DEF,50,115.1,932.4,287.0,133.5,59,2,3,0,0,0,0,5,0,5.7,3352,8,102,23,13.5,1.5967379821106533,0.7089592318561946,31,33,5.0,23.0,7.0,14.0,15.0,12.0,30.0,27.0,33,5.0,23.0,7.0,14.0,15.0,12.0,30.0,27.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,1.0,6.5,2.5,1.1,7.5,2.8,4.9,4.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158251,219921.0,218380.0,251310.0,259268.0,261250.0,251952.0,244338.0,254537.0,8,2.0,8.0,1.0,1.0,0.0,2.0,6.0,6.0,0,16305.0,-9980.0,17334.0,816.0,-926.0,-10806.0,-8229.0,6081.0,0,26339.0,11266.0,30701.0,17245.0,9942.0,4567.0,2344.0,12930.0,0,10034.0,21246.0,13367.0,16429.0,10868.0,15373.0,10573.0,6849.0,50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
4,Albrighton,LEI,MID,55,718.3,580.0,300.0,160.2,42,2,8,0,0,0,0,5,1,1.1,2533,12,107,28,9.0,1.726723313509929,0.25762289965977236,224,0,8.0,13.0,11.0,22.0,4.0,3.0,2.0,0.0,0,8.0,13.0,11.0,22.0,4.0,3.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.3,3.0,3.8,5.2,2.7,0.4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58166,46145.0,39074.0,36322.0,34247.0,36113.0,33217.0,31525.0,29407.0,0,1.0,4.0,2.0,6.0,1.0,1.0,1.0,0.0,0,-12969.0,-7773.0,-3366.0,-2477.0,1236.0,-2786.0,-1811.0,-2217.0,0,387.0,495.0,812.0,1118.0,3803.0,761.0,573.0,513.0,0,13356.0,8268.0,4178.0,3595.0,2567.0,3547.0,2384.0,2730.0,55,54.0,54.0,53.0,53.0,53.0,53.0,53.0,52.0
5,Alderweireld,TOT,DEF,60,67.8,249.2,50.0,36.8,13,0,0,0,0,0,0,3,0,3.6,1177,3,43,29,36.0,-0.8718453904842699,-0.10811644538918373,353,0,16.0,34.0,15.0,16.0,16.0,26.0,25.0,27.0,0,16.0,34.0,15.0,16.0,16.0,26.0,25.0,27.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,2.8,3.8,3.0,3.5,2.8,2.0,2.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159975,151472.0,143063.0,149821.0,145591.0,145048.0,147463.0,156360.0,159506.0,0,2.0,6.0,1.0,1.0,2.0,6.0,5.0,7.0,0,-25582.0,-13742.0,523.0,-7508.0,-2948.0,284.0,6798.0,2100.0,0,2153.0,1698.0,7629.0,2331.0,2851.0,4826.0,9657.0,7047.0,0,27735.0,15440.0,7106.0,9839.0,5799.0,4542.0,2859.0,4947.0,60,60.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0
6,Alexander-Arnold,LIV,DEF,50,399.2,358.2,142.0,90.1,17,1,2,0,0,0,0,3,0,16.8,1573,10,83,20,22.5,0.3331095107338556,-0.16296233603220717,245,22,25.0,24.0,12.0,21.0,30.0,13.0,0.0,0.0,22,25.0,24.0,12.0,21.0,30.0,13.0,0.0,0.0,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,3.7,6.6,1.2,2.2,5.0,5.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787168,858617.0,908111.0,932919.0,873976.0,956808.0,1142685.0,1192821.0,1239222.0,5,5.0,5.0,2.0,6.0,11.0,2.0,0.0,0.0,0,12318.0,29331.0,12728.0,-62483.0,64832.0,172870.0,49718.0,32373.0,0,54988.0,96022.0,66257.0,30536.0,91597.0,192231.0,76944.0,87647.0,0,42670.0,66691.0,53529.0,93019.0,26765.0,19361.0,27226.0,55274.0,50,50.0,50.0,50.0,50.0,50.0,51.0,51.0,52.0
7,Alisson,LIV,GKP,55,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,8.8,0,0,0,26,54.0,-1.7041157719259885,-0.3800545638988259,468,31,24.0,25.0,15.0,14.0,22.0,15.0,27.0,21.0,31,24.0,25.0,15.0,14.0,22.0,15.0,27.0,21.0,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.6,2.0,1.9,1.6,1.2,2.5,2.3,1.3,2,2.0,2.0,4.0,2.0,1.0,3.0,2.0,1.0,629624,735029.0,864902.0,1022258.0,1041515.0,1071394.0,1065686.0,1065712.0,1133790.0,7,6.0,6.0,3.0,2.0,6.0,3.0,6.0,6.0,0,-59.0,64025.0,91960.0,-8604.0,8203.0,-12165.0,-7980.0,45842.0,0,27174.0,100697.0,121377.0,47269.0,36786.0,18061.0,17685.0,63540.0,0,27233.0,36672.0,29417.0,55873.0,28583.0,30226.0,25665.0,17698.0,55,55.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0
8,Alli,TOT,MID,90,878.5,775.2,934.0,258.8,28,9,13,0,0,0,0,7,0,3.6,2957,12,175,22,90.0,2.962677447709812,-0.8846551168357666,365,34,18.0,9.0,8.0,0.0,3.0,0.0,0.0,0.0,34,18.0,9.0,8.0,0.0,3.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.4,8.0,4.1,0.0,0.7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175864,381319.0,392509.0,398636.0,286881.0,222599.0,219883.0,182472.0,160236.0,9,5.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0,126809.0,334.0,-6932.0,-113584.0,-68109.0,-7025.0,-36626.0,-23112.0,0,145612.0,57563.0,37811.0,13364.0,738.0,14963.0,464.0,370.0,0,18803.0,57229.0,44743.0,126948.0,68847.0,21988.0,37090.0,23482.0,90,91.0,91.0,91.0,91.0,90.0,90.0,90.0,90.0
9,Alonso,CHE,DEF,65,549.6,697.8,822.0,207.1,30,7,2,0,0,0,0,6,0,16.9,2855,15,165,27,36.0,2.6539579890465683,-0.5587754389171705,115,32,47.0,31.0,29.0,16.0,26.0,13.0,20.0,10.0,32,47.0,31.0,29.0,16.0,26.0,13.0,20.0,10.0,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,13.4,3.6,9.8,5.6,2.8,3.2,5.5,3.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727837,950830.0,1530646.0,1938564.0,2354495.0,2511720.0,2558150.0,2629895.0,2646049.0,11,13.0,11.0,9.0,2.0,6.0,2.0,6.0,1.0,0,57991.0,448028.0,331715.0,338834.0,135335.0,41220.0,38489.0,3320.0,0,84800.0,470266.0,345172.0,350248.0,157420.0,80406.0,64831.0,52681.0,0,26809.0,22238.0,13457.0,11414.0,22085.0,39186.0,26342.0,49361.0,65,65.0,66.0,67.0,68.0,69.0,69.0,69.0,70.0
10,Amartey,LEI,MID,45,10.3,81.2,0.0,9.2,7,0,0,0,0,0,0,0,1,0.2,486,0,13,23,4.5,-1.4713460546857606,-0.22174272588513846,226,6,4.0,16.0,7.0,0.0,20.0,15.0,9.0,15.0,6,4.0,16.0,7.0,0.0,20.0,15.0,9.0,15.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.3,3.3,0.5,0.0,4.0,2.6,2.9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11148,16665.0,16622.0,16875.0,16309.0,15436.0,15060.0,15281.0,16155.0,1,1.0,2.0,1.0,0.0,2.0,3.0,1.0,2.0,0,376.0,-804.0,-391.0,-858.0,-949.0,-474.0,60.0,626.0,0,2130.0,1332.0,1395.0,545.0,290.0,260.0,613.0,1601.0,0,1754.0,2136.0,1786.0,1403.0,1239.0,734.0,553.0,975.0,45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,44.0
11,Ampadu,CHE,MID,45,0.0,7.4,0.0,0.7,1,0,0,0,0,0,0,0,0,0.0,10,0,1,18,4.5,-1.6752350680717343,-0.35642800287399196,130,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3328,3504.0,3301.0,3235.0,3357.0,3320.0,3295.0,3248.0,3085.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-288.0,-333.0,-192.0,-24.0,-110.0,-62.0,-67.0,-174.0,0,127.0,139.0,206.0,345.0,150.0,144.0,78.0,62.0,0,415.0,472.0,398.0,369.0,260.0,206.0,145.0,236.0,45,45.0,45.0,44.0,44.0,44.0,44.0,44.0,44.0
12,Andone,BHA,FWD,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,25,5.4,-1.7041157719259885,-0.3800545638988259,66,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4566,4015.0,3465.0,3075.0,2852.0,2790.0,2823.0,2864.0,2815.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-703.0,-599.0,-455.0,-295.0,-129.0,-19.0,-5.0,-119.0,0,127.0,135.0,68.0,121.0,113.0,154.0,152.0,137.0,0,830.0,734.0,523.0,416.0,242.0,173.0,157.0,256.0,50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
13,Antonio,WHU,MID,70,256.3,296.6,393.0,94.6,23,3,2,0,0,0,0,1,0,4.1,1350,1,62,28,13.5,-0.022262640423753425,-0.23369253236210394,415,5,0.0,12.0,2.0,2.0,3.0,3.0,3.0,4.0,5,0.0,12.0,2.0,2.0,3.0,3.0,3.0,4.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,5.1,11.3,3.7,4.0,0.3,1.8,1.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79349,77123.0,65056.0,59005.0,56866.0,54632.0,53640.0,52823.0,51416.0,1,0.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,0,-6595.0,-12172.0,-6586.0,-2656.0,-2451.0,-1205.0,-963.0,-1526.0,0,1646.0,286.0,519.0,642.0,316.0,500.0,554.0,361.0,0,8241.0,12458.0,7105.0,3298.0,2767.0,1705.0,1517.0,1887.0,70,70.0,69.0,69.0,69.0,68.0,68.0,68.0,68.0
14,Armstrong,SOU,MID,55,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,26,6.3,-1.7041157719259885,-0.3800545638988259,345,5,0.0,3.0,0.0,0.0,4.0,1.0,0.0,1.0,5,0.0,3.0,0.0,0.0,4.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.2,0.0,0.0,0.9,2.3,0.0,0.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13490,11316.0,9782.0,8372.0,7212.0,6182.0,5711.0,5399.0,5055.0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0,-2692.0,-1698.0,-1480.0,-1175.0,-1069.0,-508.0,-321.0,-360.0,0,169.0,134.0,59.0,56.0,18.0,27.0,27.0,31.0,0,2861.0,1832.0,1539.0,1231.0,1087.0,535.0,348.0,391.0,55,55.0,54.0,54.0,53.0,53.0,52.0,52.0,52.0
15,Arnautovic,WHU,FWD,70,543.0,713.8,1155.0,241.1,50,11,7,0,0,0,0,5,1,24.4,2309,12,144,29,22.5,3.61068395796386,-0.49132339907826544,417,-1,35.0,19.0,0.0,43.0,0.0,30.0,3.0,7.0,-1,35.0,19.0,0.0,43.0,0.0,30.0,3.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.6,13.2,9.0,4.2,8.7,0.0,8.6,11.0,10.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973948,1024707.0,1043371.0,980692.0,927762.0,829511.0,753356.0,1030596.0,958191.0,2,8.0,5.0,2.0,12.0,0.0,7.0,1.0,1.0,0,-3581.0,-7520.0,-71323.0,-64657.0,-98552.0,-79622.0,245484.0,-56331.0,0,68153.0,112101.0,67863.0,65059.0,31498.0,18211.0,260445.0,61401.0,0,71734.0,119621.0,139186.0,129716.0,130050.0,97833.0,14961.0,117732.0,70,70.0,70.0,70.0,70.0,70.0,69.0,70.0,70.0
16,Atsu,NEW,MID,55,340.6,308.8,480.0,112.9,22,2,4,0,0,0,0,1,0,0.1,1776,5,78,26,5.4,0.30620467993307243,-0.1843058727110796,320,4,0.0,0.0,6.0,0.0,3.0,11.0,4.0,0.0,4,0.0,0.0,6.0,0.0,3.0,11.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.6,0.0,1.3,3.8,1.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9385,9137.0,7348.0,6395.0,5896.0,5516.0,5283.0,5159.0,5050.0,1,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0,-1289.0,-1951.0,-1106.0,-611.0,-436.0,-261.0,-155.0,-140.0,0,316.0,114.0,108.0,127.0,49.0,66.0,69.0,153.0,0,1605.0,2065.0,1214.0,738.0,485.0,327.0,224.0,293.0,55,55.0,54.0,54.0,53.0,53.0,53.0,52.0,52.0
17,Aubameyang,ARS,FWD,110,207.1,484.0,580.0,127.1,15,10,4,0,1,0,0,0,0,25.0,1056,12,87,29,67.5,1.8387442737950594,-1.0805599422195575,23,5,-4.0,12.0,33.0,12.0,32.0,9.0,61.0,59.0,5,-4.0,12.0,33.0,12.0,32.0,9.0,61.0,59.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.4,4.7,9.4,7.5,1.6,8.5,2.0,13.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,924935,903963.0,865202.0,744360.0,698556.0,637110.0,624075.0,494015.0,546595.0,2,2.0,2.0,8.0,5.0,7.0,2.0,15.0,9.0,0,-88089.0,-60940.0,-125640.0,-58195.0,-64753.0,-19156.0,-127393.0,39013.0,0,19244.0,107697.0,22584.0,25691.0,18571.0,19938.0,5657.0,67009.0,0,107333.0,168637.0,148224.0,83886.0,83324.0,39094.0,133050.0,27996.0,110,110.0,110.0,109.0,109.0,109.0,108.0,108.0,107.0
18,Aurier,TOT,DEF,60,236.5,367.2,209.0,81.4,13,2,2,0,0,0,0,1,1,1.8,1427,9,77,25,18.0,0.21314596341832434,-0.34166997521636916,360,22,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49004,62638.0,50615.0,47109.0,43347.0,41296.0,38816.0,36380.0,34885.0,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2214.0,-12185.0,-5019.0,-4340.0,-2408.0,-2651.0,-2489.0,-1646.0,0,6046.0,464.0,704.0,150.0,162.0,139.0,29.0,116.0,0,3832.0,12649.0,5723.0,4490.0,2570.0,2790.0,2518.0,1762.0,60,60.0,60.0,59.0,59.0,59.0,58.0,58.0,58.0
19,Austin,SOU,FWD,60,89.4,302.8,689.0,107.7,15,7,1,0,0,0,0,2,0,2.7,1024,9,72,29,9.0,1.0686723002517782,-0.7876474146946688,348,5,0.0,3.0,-12.0,0.0,3.0,5.0,0.0,6.0,5,0.0,3.0,-12.0,0.0,3.0,5.0,0.0,6.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,4.1,0.4,4.3,0.0,2.2,3.5,0.0,3.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85810,82895.0,63580.0,50475.0,36641.0,31155.0,28263.0,26771.0,24880.0,2,1.0,1.0,-1.0,0.0,1.0,2.0,0.0,2.0,0,-7264.0,-20279.0,-14096.0,-14220.0,-5854.0,-3151.0,-1653.0,-2091.0,0,3311.0,2108.0,1482.0,905.0,405.0,355.0,292.0,330.0,0,10575.0,22387.0,15578.0,15125.0,6259.0,3506.0,1945.0,2421.0,60,60.0,59.0,58.0,57.0,57.0,56.0,56.0,55.0
20,Ayite,FUL,MID,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,29,2.7,-1.7041157719259885,-0.3800545638988259,186,0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,2.0,0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.1,0.0,0.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8882,7878.0,7758.0,7066.0,6465.0,6424.0,6407.0,6383.0,6184.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0,-1377.0,-844.0,-877.0,-661.0,-141.0,-102.0,-51.0,-204.0,0,145.0,1542.0,479.0,171.0,281.0,234.0,211.0,153.0,0,1522.0,2386.0,1356.0,832.0,422.0,336.0,262.0,357.0,45,45.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
21,Azpilicueta,CHE,DEF,65,535.7,967.4,168.0,167.5,38,2,6,1,0,0,0,1,0,15.8,3330,25,175,29,36.0,2.808320420868845,0.19140762710770237,113,29,27.0,15.0,27.0,24.0,25.0,13.0,19.0,17.0,29,27.0,15.0,27.0,24.0,25.0,13.0,19.0,17.0,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,8.0,6.8,3.9,6.8,3.7,1.2,4.0,3.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745918,779796.0,737759.0,692596.0,669734.0,641881.0,625849.0,615060.0,597444.0,6,4.0,2.0,6.0,2.0,6.0,2.0,6.0,1.0,0,-31118.0,-62271.0,-59200.0,-36334.0,-30071.0,-18986.0,-15935.0,-20121.0,0,9674.0,15168.0,8927.0,13044.0,7825.0,7903.0,7158.0,5231.0,0,40792.0,77439.0,68127.0,49378.0,37896.0,26889.0,23093.0,25352.0,65,65.0,65.0,65.0,64.0,64.0,64.0,64.0,64.0
22,Bacuna,HUD,MID,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,21,2.25,-1.7041157719259885,-0.3800545638988259,208,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7863,7549.0,6927.0,6557.0,6408.0,5929.0,5813.0,5730.0,9509.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-734.0,-728.0,-468.0,-297.0,-472.0,-168.0,-119.0,2456.0,0,98.0,114.0,246.0,434.0,82.0,120.0,107.0,3518.0,0,832.0,842.0,714.0,731.0,554.0,288.0,226.0,1062.0,45,45.0,45.0,44.0,44.0,44.0,44.0,44.0,43.0
23,Bailly,MUN,DEF,55,28.4,222.0,79.0,33.0,6,1,0,1,0,0,0,2,0,5.3,1000,3,55,24,31.5,-0.9420728168043017,-0.36576535325433973,291,13,10.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,13,10.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.0,0.0,0.2,0.0,0.0,0.0,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133757,211411.0,177772.0,149447.0,128648.0,118098.0,108576.0,103137.0,97401.0,2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,20403.0,-39997.0,-33382.0,-23678.0,-12198.0,-10318.0,-6047.0,-6325.0,0,31796.0,6071.0,2377.0,1126.0,728.0,553.0,414.0,402.0,0,11393.0,46068.0,35759.0,24804.0,12926.0,10871.0,6461.0,6727.0,55,55.0,55.0,54.0,53.0,53.0,52.0,52.0,52.0
