,Name,Team,Position,Cost,Creativity,Influence,Threat,ICT,Goals_conceded,Goals_scored,Assists,Own_goals,Penalties_missed,Penalties_saved,Saves,Yellow_cards,Red_cards,TSB,Minutes,Bonus,Points,Age,Market_Value,PCS_1,PCS_2,Player_Id,bonus_GW1,bonus_GW2,bonus_GW3,bonus_GW4,bonus_GW5,bonus_GW6,bonus_GW7,bonus_GW8,bonus_GW9,bps_GW1,bps_GW2,bps_GW3,bps_GW4,bps_GW5,bps_GW6,bps_GW7,bps_GW8,bps_GW9,clean_sheets_GW1,clean_sheets_GW2,clean_sheets_GW3,clean_sheets_GW4,clean_sheets_GW5,clean_sheets_GW6,clean_sheets_GW7,clean_sheets_GW8,clean_sheets_GW9,goals_scored_GW1,goals_scored_GW2,goals_scored_GW3,goals_scored_GW4,goals_scored_GW5,goals_scored_GW6,goals_scored_GW7,goals_scored_GW8,goals_scored_GW9,ict_index_GW1,ict_index_GW2,ict_index_GW3,ict_index_GW4,ict_index_GW5,ict_index_GW6,ict_index_GW7,ict_index_GW8,ict_index_GW9,saves_GW1,saves_GW2,saves_GW3,saves_GW4,saves_GW5,saves_GW6,saves_GW7,saves_GW8,saves_GW9,selected_GW1,selected_GW2,selected_GW3,selected_GW4,selected_GW5,selected_GW6,selected_GW7,selected_GW8,selected_GW9,total_points_GW1,total_points_GW2,total_points_GW3,total_points_GW4,total_points_GW5,total_points_GW6,total_points_GW7,total_points_GW8,total_points_GW9,transfers_balance_GW1,transfers_balance_GW2,transfers_balance_GW3,transfers_balance_GW4,transfers_balance_GW5,transfers_balance_GW6,transfers_balance_GW7,transfers_balance_GW8,transfers_balance_GW9,transfers_in_GW1,transfers_in_GW2,transfers_in_GW3,transfers_in_GW4,transfers_in_GW5,transfers_in_GW6,transfers_in_GW7,transfers_in_GW8,transfers_in_GW9,transfers_out_GW1,transfers_out_GW2,transfers_out_GW3,transfers_out_GW4,transfers_out_GW5,transfers_out_GW6,transfers_out_GW7,transfers_out_GW8,transfers_out_GW9,value_GW1,value_GW2,value_GW3,value_GW4,value_GW5,value_GW6,value_GW7,value_GW8,value_GW9
272,Murphy,CAR,MID,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,35,225.0,-1.7041157719259885,-0.3800545638988259,106,4,10.0,6.0,0.0,0.0,1.0,24.0,-3.0,22.0,4,10.0,6.0,0.0,0.0,1.0,24.0,-3.0,22.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.7,3.4,3.6,0.0,0.0,0.2,11.8,5.0,10.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14017,12486.0,12063.0,11803.0,9223.0,7667.0,7254.0,9978.0,21326.0,1,3.0,3.0,0.0,0.0,1.0,8.0,2.0,7.0,0,-2176.0,-947.0,-654.0,-2588.0,-1606.0,-508.0,2317.0,10124.0,0,248.0,1310.0,1009.0,166.0,29.0,91.0,2956.0,11910.0,0,2424.0,2257.0,1663.0,2754.0,1635.0,599.0,639.0,1786.0,50,50.0,50.0,49.0,49.0,48.0,48.0,48.0,48.0
273,Murphy,CAR,MID,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,35,225.0,-1.7041157719259885,-0.3800545638988259,321,0,4.0,9.0,3.0,4.0,0.0,2.0,3.0,0.0,0,4.0,9.0,3.0,4.0,0.0,2.0,3.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.5,0.5,1.3,0.0,0.5,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2929,2875.0,2733.0,2965.0,2958.0,3031.0,2864.0,2818.0,2909.0,0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,0,-427.0,-247.0,27.0,-93.0,2.0,-180.0,-80.0,16.0,0,87.0,101.0,333.0,160.0,236.0,59.0,65.0,222.0,0,514.0,348.0,306.0,253.0,234.0,239.0,145.0,206.0,50,50.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
274,Murray,BHA,FWD,65,271.8,492.4,779.0,153.1,36,12,0,0,2,0,0,9,0,1.3,2184,16,111,35,2.7,3.120108257002637,-0.7700813749422686,62,1,14.0,1.0,44.0,26.0,-3.0,2.0,32.0,1.0,1,14.0,1.0,44.0,26.0,-3.0,2.0,32.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.1,6.0,2.5,13.1,7.2,0.0,0.0,14.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36707,35652.0,41189.0,50462.0,122610.0,124255.0,121971.0,127452.0,174320.0,2,5.0,2.0,12.0,6.0,2.0,1.0,9.0,1.0,0,-3845.0,2065.0,6442.0,61837.0,3362.0,-4131.0,2958.0,43238.0,0,1058.0,7746.0,13066.0,76296.0,19739.0,14054.0,17253.0,57235.0,0,4903.0,5681.0,6624.0,14459.0,16377.0,18185.0,14295.0,13997.0,65,65.0,65.0,65.0,65.0,65.0,65.0,65.0,66.0
275,Mustafi,ARS,DEF,55,129.9,836.6,202.0,117.0,30,3,1,0,0,0,0,6,0,1.0,2272,13,109,26,22.5,1.343134437180781,-0.055644021035941835,7,16,11.0,20.0,27.0,17.0,26.0,18.0,12.0,15.0,16,11.0,20.0,27.0,17.0,26.0,18.0,12.0,15.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.7,3.8,5.9,11.1,2.5,1.8,2.6,2.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66040,70396.0,64320.0,62683.0,70029.0,71115.0,79261.0,83209.0,81957.0,1,0.0,2.0,8.0,2.0,6.0,5.0,2.0,2.0,0,-5669.0,-8592.0,-3917.0,3049.0,-141.0,5493.0,2580.0,-1946.0,0,1711.0,2074.0,2091.0,7162.0,3420.0,8115.0,5093.0,2194.0,0,7380.0,10666.0,6008.0,4113.0,3561.0,2622.0,2513.0,4140.0,55,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0
276,Navarro,WAT,DEF,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,23,1.8,-1.7041157719259885,-0.3800545638988259,385,0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5864,5317.0,4734.0,4335.0,4056.0,3894.0,3758.0,3712.0,3448.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,-911.0,-680.0,-465.0,-349.0,-218.0,-163.0,-66.0,-277.0,0,34.0,46.0,39.0,41.0,35.0,43.0,102.0,23.0,0,945.0,726.0,504.0,390.0,253.0,206.0,168.0,300.0,45,45.0,44.0,44.0,44.0,43.0,43.0,43.0,43.0
277,Ndidi,LEI,MID,50,230.7,640.4,299.0,117.2,45,0,4,0,0,0,0,6,2,0.7,2896,4,78,21,22.5,0.5517024126852155,0.5559699340855998,227,13,20.0,6.0,16.0,19.0,10.0,17.0,22.0,6.0,13,20.0,6.0,16.0,19.0,10.0,17.0,22.0,6.0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.4,1.7,3.2,2.6,3.7,2.3,4.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33600,39154.0,39913.0,38549.0,37839.0,36815.0,34910.0,34662.0,33712.0,2,3.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,0,-1468.0,-1598.0,-2692.0,-1966.0,-1559.0,-2153.0,-580.0,-1286.0,0,2927.0,3024.0,1555.0,1763.0,1365.0,588.0,925.0,884.0,0,4395.0,4622.0,4247.0,3729.0,2924.0,2741.0,1505.0,2170.0,50,50.0,50.0,50.0,50.0,49.0,49.0,49.0,49.0
278,Neves,WOL,MID,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,15.4,0,0,0,21,22.5,-1.7041157719259885,-0.3800545638988259,433,44,11.0,9.0,11.0,5.0,13.0,18.0,13.0,6.0,44,11.0,9.0,11.0,5.0,13.0,18.0,13.0,6.0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,2.4,5.1,2.1,9.4,5.1,6.4,2.8,2.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633569,1166668.0,1194498.0,1332718.0,1433675.0,1340673.0,1282700.0,1241732.0,1216088.0,12,2.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,0,362716.0,16808.0,105644.0,81352.0,-87054.0,-63182.0,-42742.0,-33043.0,0,388439.0,131573.0,178365.0,165679.0,39292.0,26584.0,23213.0,42045.0,0,25723.0,114765.0,72721.0,84327.0,126346.0,89766.0,65955.0,75088.0,50,51.0,51.0,52.0,52.0,52.0,52.0,52.0,51.0
279,Niasse,EVE,FWD,55,159.2,370.6,634.0,115.2,23,8,3,0,0,0,0,2,0,1.5,1076,14,83,28,7.2,1.8701317510700397,-0.6749421493413722,176,1,2.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,1.5,0.9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46205,43511.0,36730.0,30319.0,27705.0,25679.0,24065.0,22788.0,21480.0,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,-5827.0,-7907.0,-6920.0,-3529.0,-2315.0,-1884.0,-1431.0,-1544.0,0,1868.0,1623.0,699.0,1138.0,649.0,574.0,370.0,438.0,0,7695.0,9530.0,7619.0,4667.0,2964.0,2458.0,1801.0,1982.0,55,55.0,54.0,53.0,53.0,52.0,52.0,52.0,51.0
280,Noble,WHU,MID,50,337.8,527.6,141.0,100.8,45,4,0,0,0,0,0,6,0,0.4,2400,7,84,31,6.3,1.1910800820950884,0.23149998168556638,411,12,10.0,0.0,0.0,17.0,9.0,27.0,9.0,5.0,12,10.0,0.0,0.0,17.0,9.0,27.0,9.0,5.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,3.4,0.0,0.0,3.4,1.5,5.9,3.2,3.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23453,23748.0,19461.0,15675.0,14392.0,14402.0,14476.0,26288.0,26576.0,2,1.0,0.0,0.0,5.0,3.0,5.0,2.0,1.0,0,-1384.0,-4396.0,-3904.0,-1466.0,-145.0,-47.0,10286.0,604.0,0,999.0,247.0,48.0,152.0,760.0,620.0,11934.0,3722.0,0,2383.0,4643.0,3952.0,1618.0,905.0,667.0,1648.0,3118.0,50,50.0,50.0,49.0,49.0,49.0,49.0,49.0,49.0
281,Norris,WOL,GKP,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,25,225.0,-1.7041157719259885,-0.3800545638988259,422,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117293,125984.0,125695.0,129098.0,129993.0,129894.0,129499.0,129218.0,127964.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2305.0,-3819.0,-502.0,-1580.0,-1143.0,-1194.0,-1161.0,-1738.0,0,2044.0,2732.0,4317.0,3931.0,2105.0,1453.0,1450.0,1761.0,0,4349.0,6551.0,4819.0,5511.0,3248.0,2647.0,2611.0,3499.0,40,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
282,Obiang,WHU,MID,45,132.1,377.8,88.0,60.1,29,2,0,0,0,0,0,3,0,1.3,1562,6,54,26,7.2,0.18425250694761316,0.0794588336613176,413,0,0.0,0.0,7.0,28.0,6.0,2.0,11.0,0.0,0,0.0,0.0,7.0,28.0,6.0,2.0,11.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,5.0,2.3,0.4,6.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63157,59664.0,53100.0,52377.0,51962.0,56139.0,65200.0,81597.0,84269.0,0,0.0,0.0,1.0,6.0,3.0,2.0,1.0,0.0,0,-6005.0,-7278.0,-2413.0,-1448.0,2956.0,7444.0,14693.0,3500.0,0,808.0,734.0,3825.0,4209.0,6988.0,11117.0,19002.0,9852.0,0,6813.0,8012.0,6238.0,5657.0,4032.0,3673.0,4309.0,6352.0,45,45.0,45.0,44.0,44.0,44.0,44.0,44.0,44.0
