,Name,Player_Id,bonus_GW1,bonus_GW2,bonus_GW3,bonus_GW4,bonus_GW5,bonus_GW6,bonus_GW7,bonus_GW8,bonus_GW9,bps_GW1,bps_GW2,bps_GW3,bps_GW4,bps_GW5,bps_GW6,bps_GW7,bps_GW8,bps_GW9,clean_sheets_GW1,clean_sheets_GW2,clean_sheets_GW3,clean_sheets_GW4,clean_sheets_GW5,clean_sheets_GW6,clean_sheets_GW7,clean_sheets_GW8,clean_sheets_GW9,goals_scored_GW1,goals_scored_GW2,goals_scored_GW3,goals_scored_GW4,goals_scored_GW5,goals_scored_GW6,goals_scored_GW7,goals_scored_GW8,goals_scored_GW9,ict_index_GW1,ict_index_GW2,ict_index_GW3,ict_index_GW4,ict_index_GW5,ict_index_GW6,ict_index_GW7,ict_index_GW8,ict_index_GW9,saves_GW1,saves_GW2,saves_GW3,saves_GW4,saves_GW5,saves_GW6,saves_GW7,saves_GW8,saves_GW9,total_points_GW1,total_points_GW2,total_points_GW3,total_points_GW4,total_points_GW5,total_points_GW6,total_points_GW7,total_points_GW8,total_points_GW9
389,Diame,319,7,2.0,4.0,6.0,4.0,1.0,2.0,1.0,10.0,7,2.0,4.0,6.0,4.0,1.0,2.0,1.0,10.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,4.0,2.0,1.3,1.3,1.6,1.4,3.5,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0
390,Atsu,320,4,0.0,0.0,6.0,0.0,3.0,11.0,4.0,0.0,4,0.0,0.0,6.0,0.0,3.0,11.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.6,0.0,1.3,3.8,1.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0
391,Murphy,321,0,4.0,9.0,3.0,4.0,0.0,2.0,3.0,0.0,0,4.0,9.0,3.0,4.0,0.0,2.0,3.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.5,0.5,1.3,0.0,0.5,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0
392,Merino,322,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,Hayden,323,0,-8.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0,-8.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
394,Ki Sung-yueng,324,0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,2.8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
395,Gayle,325,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,Perez,326,9,2.0,-3.0,6.0,4.0,2.0,2.0,18.0,7.0,9,2.0,-3.0,6.0,4.0,2.0,2.0,18.0,7.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,5.2,0.0,2.3,3.6,2.1,3.0,6.1,13.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0
397,Joselu,327,30,4.0,25.0,3.0,6.0,1.0,2.0,3.0,0.0,30,4.0,25.0,3.0,6.0,1.0,2.0,3.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,5.3,7.2,2.1,3.5,3.2,1.2,0.0,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2.0,7.0,1.0,2.0,1.0,2.0,1.0,1.0
398,Kenedy,458,8,-7.0,0.0,6.0,2.0,6.0,14.0,23.0,7.0,8,-7.0,0.0,6.0,2.0,6.0,14.0,23.0,7.0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.7,5.9,0.0,0.8,0.0,1.0,2.0,6.2,10.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,1.0,1.0,3.0,2.0,8.0,2.0
