,Name,Player_Id,assists_GW1,assists_GW2,assists_GW3,assists_GW4,assists_GW5,assists_GW6,assists_GW7,assists_GW8,assists_GW9,bonus_GW1,bonus_GW2,bonus_GW3,bonus_GW4,bonus_GW5,bonus_GW6,bonus_GW7,bonus_GW8,bonus_GW9,bps_GW1,bps_GW2,bps_GW3,bps_GW4,bps_GW5,bps_GW6,bps_GW7,bps_GW8,bps_GW9,clean_sheets_GW1,clean_sheets_GW2,clean_sheets_GW3,clean_sheets_GW4,clean_sheets_GW5,clean_sheets_GW6,clean_sheets_GW7,clean_sheets_GW8,clean_sheets_GW9,goals_scored_GW1,goals_scored_GW2,goals_scored_GW3,goals_scored_GW4,goals_scored_GW5,goals_scored_GW6,goals_scored_GW7,goals_scored_GW8,goals_scored_GW9,ict_index_GW1,ict_index_GW2,ict_index_GW3,ict_index_GW4,ict_index_GW5,ict_index_GW6,ict_index_GW7,ict_index_GW8,ict_index_GW9,saves_GW1,saves_GW2,saves_GW3,saves_GW4,saves_GW5,saves_GW6,saves_GW7,saves_GW8,saves_GW9,selected_GW1,selected_GW2,selected_GW3,selected_GW4,selected_GW5,selected_GW6,selected_GW7,selected_GW8,selected_GW9,total_points_GW1,total_points_GW2,total_points_GW3,total_points_GW4,total_points_GW5,total_points_GW6,total_points_GW7,total_points_GW8,total_points_GW9,transfers_balance_GW1,transfers_balance_GW2,transfers_balance_GW3,transfers_balance_GW4,transfers_balance_GW5,transfers_balance_GW6,transfers_balance_GW7,transfers_balance_GW8,transfers_balance_GW9,transfers_in_GW1,transfers_in_GW2,transfers_in_GW3,transfers_in_GW4,transfers_in_GW5,transfers_in_GW6,transfers_in_GW7,transfers_in_GW8,transfers_in_GW9,transfers_out_GW1,transfers_out_GW2,transfers_out_GW3,transfers_out_GW4,transfers_out_GW5,transfers_out_GW6,transfers_out_GW7,transfers_out_GW8,transfers_out_GW9,value_GW1,value_GW2,value_GW3,value_GW4,value_GW5,value_GW6,value_GW7,value_GW8,value_GW9
0,Cech,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,26.0,17.0,8.0,13.0,36.0,6.0,0.0,0.0,24,26.0,17.0,8.0,13.0,36.0,6.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,5.3,2.8,0.2,1.4,4.3,1.7,0.0,0.0,6,8.0,4.0,1.0,1.0,6.0,1.0,0.0,0.0,70767,90038.0,107301.0,123566.0,123310.0,124787.0,138891.0,107912.0,92724.0,3,3.0,3.0,1.0,2.0,11.0,1.0,0.0,0.0,0,188.0,8540.0,9582.0,-3297.0,-797.0,9392.0,-28910.0,-16395.0,0,6059.0,19550.0,19332.0,8837.0,6593.0,13595.0,924.0,336.0,0,5871.0,11010.0,9750.0,12134.0,7390.0,4203.0,29834.0,16731.0,50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1,Leno,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,13.0,0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.2,1.6,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,110646,107349.0,92305.0,82858.0,77555.0,74131.0,70906.0,85008.0,90965.0,0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0,-14370.0,-17771.0,-11562.0,-7085.0,-4376.0,-3790.0,11531.0,4917.0,0,1857.0,1103.0,500.0,754.0,353.0,180.0,13379.0,8112.0,0,16227.0,18874.0,12062.0,7839.0,4729.0,3970.0,1848.0,3195.0,50,50.0,49.0,49.0,48.0,48.0,48.0,48.0,48.0
2,Koscielny,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6155,6682.0,6226.0,6016.0,5961.0,5935.0,5909.0,5869.0,5882.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1179.0,-900.0,-508.0,-340.0,-155.0,-139.0,-94.0,-97.0,0,120.0,74.0,56.0,64.0,42.0,32.0,32.0,39.0,0,1299.0,974.0,564.0,404.0,197.0,171.0,126.0,136.0,55,55.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0
3,Bellerin,4,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,17,16.0,25.0,5.0,12.0,28.0,28.0,25.0,27.0,17,16.0,25.0,5.0,12.0,28.0,28.0,25.0,27.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,3.8,5.7,1.9,3.4,4.8,2.4,7.4,7.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727046,708875.0,654173.0,671467.0,609539.0,581867.0,583056.0,593737.0,615756.0,1,1.0,5.0,0.0,2.0,6.0,8.0,5.0,7.0,0,-62938.0,-69594.0,798.0,-65120.0,-32044.0,-3952.0,6898.0,15322.0,0,12676.0,35884.0,43942.0,16982.0,10657.0,17381.0,20408.0,35891.0,0,75614.0,105478.0,43144.0,82102.0,42701.0,21333.0,13510.0,20569.0,55,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0
4,Monreal,5,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,14.0,27.0,9.0,12.0,20.0,22.0,20.0,0.0,0,14.0,27.0,9.0,12.0,20.0,22.0,20.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,11.4,5.5,2.6,5.4,4.2,4.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44811,36147.0,46967.0,105115.0,106453.0,110773.0,129735.0,137768.0,152737.0,0,1.0,10.0,0.0,2.0,6.0,6.0,5.0,0.0,0,-9556.0,7407.0,45778.0,471.0,2757.0,14712.0,7587.0,12353.0,0,407.0,13108.0,55182.0,16803.0,12157.0,19891.0,13052.0,20599.0,0,9963.0,5701.0,9404.0,16332.0,9400.0,5179.0,5465.0,8246.0,55,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
5,Holding,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9.0,31.0,15.0,8.0,0,0.0,0.0,0.0,0.0,9.0,31.0,15.0,8.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,2.6,2.3,2.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29752,34584.0,31627.0,29855.0,28592.0,27951.0,27855.0,31920.0,35317.0,0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0,-3242.0,-4118.0,-2865.0,-1982.0,-1096.0,-516.0,3076.0,2838.0,0,1182.0,658.0,377.0,298.0,194.0,487.0,3896.0,4259.0,0,4424.0,4776.0,3242.0,2280.0,1290.0,1003.0,820.0,1421.0,45,45.0,45.0,44.0,44.0,44.0,44.0,44.0,44.0
6,Mustafi,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,11.0,20.0,27.0,17.0,26.0,18.0,12.0,15.0,16,11.0,20.0,27.0,17.0,26.0,18.0,12.0,15.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.7,3.8,5.9,11.1,2.5,1.8,2.6,2.6,3.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66040,70396.0,64320.0,62683.0,70029.0,71115.0,79261.0,83209.0,81957.0,1,0.0,2.0,8.0,2.0,6.0,5.0,2.0,2.0,0,-5669.0,-8592.0,-3917.0,3049.0,-141.0,5493.0,2580.0,-1946.0,0,1711.0,2074.0,2091.0,7162.0,3420.0,8115.0,5093.0,2194.0,0,7380.0,10666.0,6008.0,4113.0,3561.0,2622.0,2513.0,4140.0,55,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0
7,Kolasinac,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32166,24101.0,19874.0,17901.0,16607.0,16113.0,15953.0,16343.0,16706.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-9293.0,-4863.0,-2366.0,-1492.0,-647.0,-332.0,92.0,-2.0,0,209.0,105.0,62.0,55.0,45.0,149.0,374.0,467.0,0,9502.0,4968.0,2428.0,1547.0,692.0,481.0,282.0,469.0,50,50.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
8,Mavropanos,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10713,10573.0,9312.0,8291.0,7851.0,7652.0,7198.0,6754.0,6362.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1679.0,-1632.0,-1247.0,-762.0,-436.0,-579.0,-480.0,-439.0,0,381.0,199.0,101.0,110.0,70.0,62.0,11.0,14.0,0,2060.0,1831.0,1348.0,872.0,506.0,641.0,491.0,453.0,50,50.0,49.0,49.0,48.0,48.0,48.0,48.0,48.0
9,Lichtsteiner,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112156,117269.0,95453.0,79486.0,69989.0,64924.0,61396.0,58968.0,56477.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,-10116.0,-23933.0,-17753.0,-10917.0,-5896.0,-4111.0,-2829.0,-2932.0,0,4812.0,2151.0,789.0,550.0,424.0,431.0,275.0,422.0,0,14928.0,26084.0,18542.0,11467.0,6320.0,4542.0,3104.0,3354.0,50,50.0,49.0,48.0,48.0,47.0,47.0,47.0,46.0
10,Sokratis,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,13.0,10.0,12.0,13.0,-1.0,0.0,0.0,0.0,13,13.0,10.0,12.0,13.0,-1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,2.2,1.8,1.4,2.4,0.6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122791,120917.0,109545.0,100104.0,91179.0,88907.0,80910.0,78950.0,73392.0,0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0,-15695.0,-15011.0,-11689.0,-10449.0,-3610.0,-8438.0,-2638.0,-5929.0,0,2039.0,3385.0,1864.0,1090.0,1485.0,761.0,1076.0,896.0,0,17734.0,18396.0,13553.0,11539.0,5095.0,9199.0,3714.0,6825.0,55,55.0,54.0,54.0,53.0,53.0,53.0,52.0,52.0
11,Ozil,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,3.0,0.0,8.0,35.0,10.0,28.0,0.0,50.0,10,3.0,0.0,8.0,35.0,10.0,28.0,0.0,50.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,1.5,0.0,3.7,11.4,5.4,9.2,0.0,14.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236460,235965.0,201485.0,159335.0,149837.0,168695.0,174948.0,243629.0,223066.0,2,2.0,0.0,2.0,10.0,3.0,10.0,0.0,12.0,0,-29452.0,-41534.0,-46139.0,-14570.0,13763.0,3474.0,58989.0,-17711.0,0,9231.0,10515.0,2760.0,5554.0,20664.0,13529.0,65987.0,21552.0,0,38683.0,52049.0,48899.0,20124.0,6901.0,10055.0,6998.0,39263.0,85,85.0,84.0,83.0,83.0,83.0,83.0,83.0,83.0
12,Ramsey,14,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,7,2.0,15.0,15.0,12.0,28.0,2.0,30.0,3.0,7,2.0,15.0,15.0,12.0,28.0,2.0,30.0,3.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.9,2.7,8.8,12.8,4.6,8.6,1.1,8.6,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60423,66721.0,58474.0,61047.0,67200.0,67228.0,85332.0,80972.0,149343.0,1,1.0,2.0,2.0,3.0,9.0,3.0,10.0,1.0,0,-4393.0,-9971.0,271.0,3939.0,-738.0,15093.0,-3585.0,58997.0,0,3565.0,2905.0,7240.0,13533.0,6429.0,20969.0,5947.0,69274.0,0,7958.0,12876.0,6969.0,9594.0,7167.0,5876.0,9532.0,10277.0,75,75.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0
13,Iwobi,15,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,30.0,16.0,0.0,0.0,3.0,9.0,7.0,21.0,0,30.0,16.0,0.0,0.0,3.0,9.0,7.0,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,3.4,0.0,0.0,2.2,2.1,2.7,7.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35746,34141.0,78035.0,101512.0,79017.0,64854.0,58044.0,60377.0,64150.0,0,7.0,4.0,0.0,0.0,1.0,4.0,2.0,2.0,0,-6773.0,30671.0,18462.0,-22134.0,-15691.0,-7541.0,1304.0,2604.0,0,670.0,42143.0,32826.0,5804.0,2025.0,1296.0,5013.0,7725.0,0,7443.0,11472.0,14364.0,27938.0,17716.0,8837.0,3709.0,5121.0,55,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
14,Elneny,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120790,131230.0,126971.0,129719.0,127820.0,123906.0,134953.0,146353.0,158488.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-14851.0,-13727.0,-6521.0,-8141.0,-6829.0,4249.0,7472.0,7536.0,0,3450.0,6902.0,9906.0,4757.0,1834.0,12632.0,15152.0,18646.0,0,18301.0,20629.0,16427.0,12898.0,8663.0,8383.0,7680.0,11110.0,45,45.0,44.0,44.0,44.0,44.0,43.0,43.0,43.0
15,Xhaka,17,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10,4.0,11.0,21.0,33.0,12.0,13.0,16.0,7.0,10,4.0,11.0,21.0,33.0,12.0,13.0,16.0,7.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.5,4.4,8.9,7.3,2.2,6.3,3.8,5.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220405,204578.0,164968.0,150275.0,147561.0,176438.0,183741.0,195814.0,199261.0,1,0.0,2.0,4.0,9.0,3.0,3.0,2.0,1.0,0,-31146.0,-43038.0,-18564.0,-6285.0,22859.0,5438.0,9557.0,1543.0,0,3989.0,2123.0,2248.0,6920.0,31619.0,15359.0,19412.0,16570.0,0,35135.0,45161.0,20812.0,13205.0,8760.0,9921.0,9855.0,15027.0,55,55.0,54.0,54.0,53.0,53.0,53.0,53.0,53.0
16,Mkhitaryan,18,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,43.0,2.0,2.0,1.0,0.0,0.0,9.0,11.0,11,43.0,2.0,2.0,1.0,0.0,0.0,9.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,14.6,5.1,0.0,2.5,0.0,0.0,5.3,1.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644446,589659.0,1046367.0,1129838.0,967119.0,584370.0,449089.0,389679.0,363832.0,2,12.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0,-85475.0,398801.0,79729.0,-165861.0,-380915.0,-143059.0,-62863.0,-28690.0,0,18592.0,450450.0,169784.0,60179.0,7139.0,3461.0,2982.0,9183.0,0,104067.0,51649.0,90055.0,226040.0,388054.0,146520.0,65845.0,37873.0,70,70.0,71.0,72.0,72.0,71.0,70.0,69.0,69.0
17,Nelson,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33287,38393.0,37211.0,38720.0,33462.0,31377.0,30116.0,29340.0,28393.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4206.0,-4537.0,-2310.0,-6513.0,-2682.0,-1668.0,-919.0,-1090.0,0,872.0,847.0,2005.0,213.0,29.0,21.0,18.0,24.0,0,5078.0,5384.0,4315.0,6726.0,2711.0,1689.0,937.0,1114.0,45,45.0,45.0,44.0,44.0,44.0,44.0,44.0,44.0
18,Maitland-Niles,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31526,26878.0,20852.0,19669.0,17990.0,16727.0,15980.0,15524.0,15163.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-6916.0,-6521.0,-1992.0,-2082.0,-1411.0,-876.0,-513.0,-432.0,0,771.0,231.0,1663.0,607.0,206.0,179.0,174.0,277.0,0,7687.0,6752.0,3655.0,2689.0,1617.0,1055.0,687.0,709.0,45,45.0,45.0,44.0,44.0,44.0,44.0,44.0,44.0
19,Welbeck,21,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,30.0,3.0,1.0,1.0,3.0,22.0,0.0,0,0.0,30.0,3.0,1.0,1.0,3.0,22.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.1,1.6,2.0,1.3,6.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28663,23931.0,24807.0,34461.0,37421.0,38273.0,38452.0,37826.0,37648.0,0,0.0,8.0,1.0,1.0,1.0,1.0,5.0,0.0,0,-6967.0,-2166.0,4776.0,274.0,-952.0,-1041.0,-1356.0,-1120.0,0,596.0,1635.0,7757.0,5307.0,2718.0,2253.0,1169.0,1865.0,0,7563.0,3801.0,2981.0,5033.0,3670.0,3294.0,2525.0,2985.0,65,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
20,Lacazette,22,0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-4,2.0,13.0,41.0,11.0,33.0,6.0,58.0,3.0,-4,2.0,13.0,41.0,11.0,33.0,6.0,58.0,3.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.2,1.5,6.7,18.5,8.8,7.1,5.1,10.4,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200168,187776.0,142551.0,132534.0,216426.0,248909.0,369350.0,478935.0,832987.0,1,1.0,4.0,12.0,5.0,8.0,5.0,12.0,2.0,0,-31583.0,-49644.0,-15607.0,67926.0,30296.0,105056.0,103368.0,331507.0,0,6615.0,8917.0,7766.0,91903.0,52457.0,118869.0,126820.0,352181.0,0,38198.0,58561.0,23373.0,23977.0,22161.0,13813.0,23452.0,20674.0,95,95.0,94.0,94.0,94.0,94.0,95.0,95.0,97.0
21,Aubameyang,23,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5,-4.0,12.0,33.0,12.0,32.0,9.0,61.0,59.0,5,-4.0,12.0,33.0,12.0,32.0,9.0,61.0,59.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.4,4.7,9.4,7.5,1.6,8.5,2.0,13.5,14.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,924935,903963.0,865202.0,744360.0,698556.0,637110.0,624075.0,494015.0,546595.0,2,2.0,2.0,8.0,5.0,7.0,2.0,15.0,12.0,0,-88089.0,-60940.0,-125640.0,-58195.0,-64753.0,-19156.0,-127393.0,39013.0,0,19244.0,107697.0,22584.0,25691.0,18571.0,19938.0,5657.0,67009.0,0,107333.0,168637.0,148224.0,83886.0,83324.0,39094.0,133050.0,27996.0,110,110.0,110.0,109.0,109.0,109.0,108.0,108.0,107.0
22,Torreira,450,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,3.0,14.0,20.0,4.0,9.0,5.0,13.0,14.0,5,3.0,14.0,20.0,4.0,9.0,5.0,13.0,14.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,2.3,3.9,1.7,2.0,1.3,1.8,1.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90529,93840.0,82724.0,76098.0,78730.0,75549.0,77419.0,79310.0,83063.0,1,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,0,-8111.0,-12969.0,-8565.0,147.0,-3711.0,844.0,1177.0,2472.0,0,4349.0,2847.0,2899.0,8964.0,4279.0,5333.0,4555.0,7225.0,0,12460.0,15816.0,11464.0,8817.0,7990.0,4489.0,3378.0,4753.0,50,50.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
23,Guendouzi,451,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,17.0,17.0,10.0,10.0,0.0,0.0,3.0,6.0,15,17.0,17.0,10.0,10.0,0.0,0.0,3.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.8,4.4,0.8,1.4,0.0,0.0,0.5,0.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53733,81273.0,166086.0,185112.0,186551.0,174515.0,159527.0,149181.0,140074.0,2,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,10674.0,65728.0,14937.0,-1790.0,-12914.0,-15281.0,-11056.0,-10092.0,0,18896.0,89679.0,37956.0,21815.0,7984.0,2422.0,1668.0,2910.0,0,8222.0,23951.0,23019.0,23605.0,20898.0,17703.0,12724.0,13002.0,45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
24,Martinez,542,0,0.0,,,,,,,,0,0.0,,,,,,,,0,0.0,,,,,,,,0,0.0,,,,,,,,0,0.0,,,,,,,,0.0,0.0,,,,,,,,0,0.0,,,,,,,,0,3833.0,,,,,,,,0,0.0,,,,,,,,0,2047.0,,,,,,,,0,2465.0,,,,,,,,0,418.0,,,,,,,,40,40.0,,,,,,,
25,Smith-Rowe,545,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0.0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,45,,,,,,,,
26,Medley,546,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0.0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,40,,,,,,,,
27,Begovic,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,16.0,4.0,18.0,20.0,10.0,10.0,25.0,29.0,21,16.0,4.0,18.0,20.0,10.0,10.0,25.0,29.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.6,0.0,3.6,3.9,0.7,0.7,1.5,2.1,1,4.0,1.0,4.0,5.0,1.0,1.0,2.0,4.0,220212,250753.0,260020.0,255193.0,261224.0,266485.0,257515.0,249791.0,255762.0,6,3.0,1.0,2.0,2.0,0.0,2.0,6.0,9.0,0,3152.0,853.0,-8140.0,1741.0,3063.0,-8874.0,-7968.0,2659.0,0,12926.0,20007.0,8282.0,19472.0,13190.0,2003.0,1168.0,10335.0,0,9774.0,19154.0,16422.0,17731.0,10127.0,10877.0,9136.0,7676.0,45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
