,Name,Player_Id,assists_GW1,assists_GW2,assists_GW3,assists_GW4,assists_GW5,assists_GW6,assists_GW7,assists_GW8,assists_GW9,bonus_GW1,bonus_GW2,bonus_GW3,bonus_GW4,bonus_GW5,bonus_GW6,bonus_GW7,bonus_GW8,bonus_GW9,bps_GW1,bps_GW2,bps_GW3,bps_GW4,bps_GW5,bps_GW6,bps_GW7,bps_GW8,bps_GW9,clean_sheets_GW1,clean_sheets_GW2,clean_sheets_GW3,clean_sheets_GW4,clean_sheets_GW5,clean_sheets_GW6,clean_sheets_GW7,clean_sheets_GW8,clean_sheets_GW9,goals_scored_GW1,goals_scored_GW2,goals_scored_GW3,goals_scored_GW4,goals_scored_GW5,goals_scored_GW6,goals_scored_GW7,goals_scored_GW8,goals_scored_GW9,ict_index_GW1,ict_index_GW2,ict_index_GW3,ict_index_GW4,ict_index_GW5,ict_index_GW6,ict_index_GW7,ict_index_GW8,ict_index_GW9,saves_GW1,saves_GW2,saves_GW3,saves_GW4,saves_GW5,saves_GW6,saves_GW7,saves_GW8,saves_GW9,selected_GW1,selected_GW2,selected_GW3,selected_GW4,selected_GW5,selected_GW6,selected_GW7,selected_GW8,selected_GW9,total_points_GW1,total_points_GW2,total_points_GW3,total_points_GW4,total_points_GW5,total_points_GW6,total_points_GW7,total_points_GW8,total_points_GW9,transfers_balance_GW1,transfers_balance_GW2,transfers_balance_GW3,transfers_balance_GW4,transfers_balance_GW5,transfers_balance_GW6,transfers_balance_GW7,transfers_balance_GW8,transfers_balance_GW9,transfers_in_GW1,transfers_in_GW2,transfers_in_GW3,transfers_in_GW4,transfers_in_GW5,transfers_in_GW6,transfers_in_GW7,transfers_in_GW8,transfers_in_GW9,transfers_out_GW1,transfers_out_GW2,transfers_out_GW3,transfers_out_GW4,transfers_out_GW5,transfers_out_GW6,transfers_out_GW7,transfers_out_GW8,transfers_out_GW9,value_GW1,value_GW2,value_GW3,value_GW4,value_GW5,value_GW6,value_GW7,value_GW8,value_GW9
153,Giroud,133,0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0,2.0,3.0,9.0,37.0,2.0,3.0,17.0,4.0,0,2.0,3.0,9.0,37.0,2.0,3.0,17.0,4.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,3.8,5.2,14.4,3.9,0.8,5.6,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188771,170450.0,143336.0,129477.0,129376.0,158576.0,151194.0,147609.0,143662.0,0,1.0,1.0,4.0,10.0,2.0,2.0,5.0,1.0,0,-35060.0,-30754.0,-17292.0,-3569.0,23470.0,-7261.0,-5336.0,-5477.0,0,2280.0,2355.0,1591.0,5731.0,30314.0,5163.0,4383.0,4581.0,0,37340.0,33109.0,18883.0,9300.0,6844.0,12424.0,9719.0,10058.0,80,80.0,79.0,79.0,78.0,78.0,78.0,78.0,78.0
154,Morata,134,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,27.0,6.0,3.0,0.0,0.0,1.0,20.0,6.0,1,27.0,6.0,3.0,0.0,0.0,1.0,20.0,6.0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.9,8.3,4.1,4.5,0.0,2.1,2.3,7.1,4.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151388,145740.0,254777.0,245949.0,216165.0,145050.0,118822.0,108078.0,102707.0,2,6.0,2.0,2.0,0.0,1.0,1.0,5.0,2.0,0,-22388.0,87543.0,-11273.0,-34390.0,-71481.0,-28818.0,-11992.0,-6730.0,0,8401.0,121679.0,29469.0,17414.0,1943.0,831.0,890.0,1986.0,0,30789.0,34136.0,40742.0,51804.0,73424.0,29649.0,12882.0,8716.0,90,90.0,90.0,90.0,90.0,89.0,88.0,88.0,87.0
155,Jorginho,459,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,14.0,15.0,15.0,10.0,16.0,15.0,11.0,20.0,31,14.0,15.0,15.0,10.0,16.0,15.0,11.0,20.0,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,3.3,7.0,3.0,1.4,8.0,3.6,3.7,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396333,679528.0,762023.0,811451.0,821557.0,741628.0,691911.0,670942.0,641562.0,9,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,0,163399.0,58328.0,28366.0,-2975.0,-82484.0,-53507.0,-25645.0,-33591.0,0,190932.0,135296.0,96814.0,78125.0,20488.0,14489.0,18862.0,20983.0,0,27533.0,76968.0,68448.0,81100.0,102972.0,67996.0,44507.0,54574.0,50,51.0,51.0,51.0,52.0,52.0,51.0,51.0,51.0
156,Abraham,496,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7919,8175.0,6956.0,6152.0,4762.0,4366.0,4088.0,3927.0,3775.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1426.0,-1584.0,-1116.0,-1435.0,-469.0,-310.0,-171.0,-172.0,0,419.0,277.0,233.0,63.0,25.0,13.0,6.0,14.0,0,1845.0,1861.0,1349.0,1498.0,494.0,323.0,177.0,186.0,55,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0
157,Kepa,498,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,17.0,9.0,21.0,10.0,21.0,19.0,36.0,13.0,23,17.0,9.0,21.0,10.0,21.0,19.0,36.0,13.0,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.8,0.7,1.2,1.3,1.2,2.2,3.3,2.0,1,4.0,1.0,1.0,1.0,1.0,3.0,6.0,2.0,120895,191526.0,208141.0,223013.0,279787.0,271306.0,263449.0,291749.0,297864.0,6,2.0,2.0,6.0,2.0,6.0,3.0,9.0,1.0,0,15996.0,5352.0,6909.0,41275.0,-7176.0,-9450.0,18848.0,3947.0,0,26682.0,28169.0,25043.0,59090.0,12220.0,6292.0,26751.0,19147.0,0,10686.0,22817.0,18134.0,17815.0,19396.0,15742.0,7903.0,15200.0,55,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
158,Kovacic,499,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,7.0,10.0,15.0,7.0,12.0,23.0,4.0,12.0,0,7.0,10.0,15.0,7.0,12.0,23.0,4.0,12.0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,6.8,10.6,6.7,4.5,6.8,1.2,3.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56369,56613.0,53872.0,55153.0,57818.0,46394.0,45032.0,61282.0,57306.0,0,1.0,2.0,3.0,1.0,3.0,7.0,1.0,2.0,0,-12214.0,-7042.0,-2389.0,-378.0,-11583.0,-2442.0,13545.0,-4353.0,0,4155.0,5505.0,5996.0,7038.0,847.0,1678.0,16249.0,4343.0,0,16369.0,12547.0,8385.0,7416.0,12430.0,4120.0,2704.0,8696.0,60,60.0,60.0,60.0,60.0,59.0,59.0,59.0,59.0
159,Hennessey,135,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,18.0,14.0,34.0,24.0,28.0,14.0,9.0,12.0,33,18.0,14.0,34.0,24.0,28.0,14.0,9.0,12.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,3.0,2.3,6.1,1.8,1.9,2.6,1.2,1.8,6,4.0,3.0,5.0,2.0,3.0,3.0,1.0,2.0,49531,110567.0,148738.0,191464.0,253852.0,364076.0,427537.0,460160.0,440689.0,9,2.0,2.0,8.0,6.0,8.0,2.0,2.0,1.0,0,17259.0,31979.0,36357.0,53309.0,97934.0,57431.0,30084.0,-18203.0,0,23718.0,47647.0,49712.0,72311.0,108668.0,66886.0,40811.0,12688.0,0,6459.0,15668.0,13355.0,19002.0,10734.0,9455.0,10727.0,30891.0,45,45.0,45.0,45.0,45.0,46.0,46.0,46.0,46.0
160,Speroni,136,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727239,725012.0,690635.0,673438.0,650540.0,632216.0,620573.0,609844.0,599268.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-25399.0,-40515.0,-22659.0,-25974.0,-19425.0,-12742.0,-11656.0,-11813.0,0,5439.0,7165.0,9085.0,8839.0,4116.0,2640.0,2529.0,3405.0,0,30838.0,47680.0,31744.0,34813.0,23541.0,15382.0,14185.0,15218.0,40,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
161,Guaita,137,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12383,11333.0,10149.0,9620.0,8794.0,8251.0,8121.0,8084.0,7927.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1698.0,-1523.0,-891.0,-938.0,-610.0,-312.0,-173.0,-313.0,0,61.0,208.0,291.0,118.0,81.0,186.0,221.0,171.0,0,1759.0,1731.0,1182.0,1056.0,691.0,498.0,394.0,484.0,45,45.0,44.0,44.0,44.0,43.0,43.0,43.0,43.0
162,Tomkins,138,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,20.0,0.0,0.0,25.0,26.0,10.0,15.0,15.0,29,20.0,0.0,0.0,25.0,26.0,10.0,15.0,15.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,2.5,0.0,0.0,1.2,1.8,1.2,2.0,4.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428025,417659.0,389862.0,314755.0,238638.0,238564.0,233984.0,224963.0,208026.0,6,1.0,0.0,0.0,6.0,5.0,0.0,2.0,1.0,0,-21868.0,-30758.0,-74312.0,-77133.0,-3420.0,-4506.0,-8908.0,-17458.0,0,7957.0,12001.0,1316.0,367.0,9202.0,4355.0,1601.0,1309.0,0,29825.0,42759.0,75628.0,77500.0,12622.0,8861.0,10509.0,18767.0,45,45.0,45.0,45.0,44.0,44.0,44.0,44.0,44.0
